bornIn,tmdbId,born,name,bio,died,poster,n.url
"""Burchard, Nebraska, USA""","""88953""","""1893-04-20""","""Harold Lloyd""","""Harold Lloyd has been called the cinema’s “first man in space. ” He was a product of the film industry.  His comedy wasn’t imported from Vaudeville or the British Music Hall like his contemporaries, Charlie Chaplin and Buster Keaton.  Harold learned to use the camera the way other comics used a bowler hat or a funny walk...""","""1971-03-08""","""https://image.tmdb.org/t/p/w440_and_h660_face/er4ZNznuum2v8vqeZr2fT3Friqo.jpg""","""https://themoviedb.org/person/88953"""
"""Arnoldsdorf, West Prussia, Germany [now Jarantowice, Kujawsko-Pomorskie, Poland]""","""29123""","""1874-12-11""","""Paul Wegener""","""Paul Wegener was a German actor known for his pioneering roles in Expressionist films.  He can also be considered a father of horror for his breakout role in The Student of Prague (1913).  Wegener maintained a career throughout and after the Nazi era, starring in his last film in 1948...""","""1948-09-13""","""https://image.tmdb.org/t/p/w440_and_h660_face/6D04qOrnJNNeCiZef0hxRqUt1B4.jpg""","""https://themoviedb.org/person/29123"""
"""Piqua, Kansas, USA""","""8635""","""1895-10-04""","""Buster Keaton""","""Buster Keaton was an American comic actor, filmmaker, producer and writer.  He was best known for his silent films, in which his trademark was physical comedy with a consistently stoic, deadpan expression, earning him the nickname \""The Great Stone Face\"". 

Keaton was recognized as the seventh-greatest director of all time by Entertainment Weekly.  In 1999, the American Film Institute ranked Keaton the 21st-greatest male star of all time...""","""1966-02-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/kEybBFkO5AX83o3WKyNDfuvfVrn.jpg""","""https://themoviedb.org/person/8635"""
"""Los Angeles, California, USA""","""143998""","""1897-05-17""","""Malcolm St. Clair""",null,"""1952-06-01""","""https://image.tmdb.org/t/p/w440_and_h660_face/eeTYVC0RKAZzhylzNbX1MuXF4TB.jpg""","""https://themoviedb.org/person/143998"""
"""Kenosha, Wisconsin, USA""","""13953""","""1891-11-04""","""Edward F. Cline""","""Edward F.  Cline was an American screenwriter, actor, writer, and director...""","""1961-05-22""","""https://image.tmdb.org/t/p/w440_and_h660_face/6lNCZC7XJCXcaw3dhVYX6MxIvLf.jpg""","""https://themoviedb.org/person/13953"""
"""Colorado Springs, Colorado, USA""","""14481""","""1883-04-01""","""Lon Chaney""","""Lon Chaney (born Leonidas Frank Chaney) - nicknamed \""Man of a Thousand Faces\"" - was an American Silent screen star.  He died after completing his only sound film...""","""1930-08-26""","""https://image.tmdb.org/t/p/w440_and_h660_face/3wZ0n7Yt0JSMju2UAyWYOtLgUzG.jpg""","""https://themoviedb.org/person/14481"""
"""Bow, London, England, UK""","""8841""","""1882-07-27""","""Donald Crisp""","""Donald Crisp was born George William Crisp at the family home in Bow,  London.  Donald's parents were James Crisp and Elizabeth Crisp, his birth  was registered by his mother on 4th September 1882.  Donald's sisters  were Elizabeth, Ann, Alice (known as Louisa) and Eliza and his brothers  were James, John and Mark.  Family memories state that Donald's  brother-in-law James Needham (Louisa's husband) lent/gave Donald the  fare to USA...""","""1974-05-25""","""https://image.tmdb.org/t/p/w440_and_h660_face/rZHp5vzagKpvCQaf7HLtI9PeHXi.jpg""","""https://themoviedb.org/person/8841"""
"""Hermosa, Chicago, Illinois, USA""","""2106""","""1901-12-05""","""Walt Disney""","""​From Wikipedia, the free encyclopedia.   

Walter Elias \""Walt\"" Disney (December 5, 1901 – December 15, 1966) was an American film producer, director, screenwriter, voice actor, animator, entrepreneur, entertainer, international icon, and philanthropist, well-known for his influence in the field of entertainment during the 20th century.  Along with his brother Roy O...""","""1966-12-15""","""https://image.tmdb.org/t/p/w440_and_h660_face/rucTIeVtozKer6TmCYBxFr8Wy2q.jpg""","""https://themoviedb.org/person/2106"""
"""West Newton, Massachusetts, United States""","""13355""","""1892-05-16""","""Osgood Perkins""","""​From Wikipedia, the free encyclopedia.   

Osgood Perkins (May 16, 1892 – September 21, 1937) was an American actor. Perkins was born James Ripley Osgood Perkins in West Newton, Massachusetts, the son of Helen Virginia (née Anthony) and Henry Phelps Perkins.  He is a descendant of a Mayflower passenger John Howland.  Perkins made his Broadway debut in 1924 in the George S.  Kaufman – Marc Connelly play Beggar on Horseback...""","""1937-09-21""","""https://image.tmdb.org/t/p/w440_and_h660_face/tU3scIG5k7dG3cRagxn3wWHrMSS.jpg""","""https://themoviedb.org/person/13355"""
"""Scarborough, North Riding of Yorkshire, England, UK""","""10921""","""1899-07-01""","""Charles Laughton""","""From Wikipedia, the free encyclopedia. 

Charles Laughton (1 July 1899 – 15 December 1962) was an English-American stage and film actor, director, producer and screenwriter.  Laughton was trained in London at the Royal Academy of Dramatic Art and first appeared professionally on the stage in 1926.  In 1927, he was cast in a play with his future wife Elsa Lanchester, with whom he lived and worked until his death...""","""1962-12-15""","""https://image.tmdb.org/t/p/w440_and_h660_face/eRTDXGpo3JHA5tQ299lJTxeuFao.jpg""","""https://themoviedb.org/person/10921"""
