name,tmdbId,movieId,actor_role
"""Jim Varney""","""12899""","""1""","""Slinky Dog (voice)"""
"""Tim Allen""","""12898""","""1""","""Buzz Lightyear (voice)"""
"""Tom Hanks""","""31""","""1""","""Woody (voice)"""
"""Don Rickles""","""7167""","""1""","""Mr. Potato Head (voice)"""
"""Robin Williams""","""2157""","""2""","""Alan Parrish"""
"""Bradley Pierce""","""145151""","""2""","""Peter Shepherd"""
"""Kirsten Dunst""","""205""","""2""","""Judy Shepherd"""
"""Jonathan Hyde""","""8537""","""2""","""Samuel Alan Parrish / Van Pelt"""
"""Walter Matthau""","""6837""","""3""","""Max Goldman"""
"""Ann-Margret""","""13567""","""3""","""Ariel Gustafson"""
"""Jack Lemmon""","""3151""","""3""","""John Gustafson"""
"""Sophia Loren""","""16757""","""3""","""Maria Sophia Coletta Ragetti"""
"""Whitney Houston""","""8851""","""4""","""Savannah Jackson"""
"""Lela Rochon""","""51359""","""4""","""Robin Stokes"""
"""Angela Bassett""","""9780""","""4""","""Bernie Harris"""
"""Loretta Devine""","""18284""","""4""","""Gloria Matthews"""
"""Steve Martin""","""67773""","""5""","""George Banks"""
"""Kimberly Williams-Paisley""","""70696""","""5""","""Annie Banks-MacKenzie"""
"""Diane Keaton""","""3092""","""5""","""Nina Banks"""
"""Martin Short""","""519""","""5""","""Franck Eggelhoffer"""
"""Al Pacino""","""1158""","""6""","""Lt. Vincent Hanna"""
"""Robert De Niro""","""380""","""6""","""Neil McCauley"""
"""Val Kilmer""","""5576""","""6""","""Chris Shiherlis"""
"""Jon Voight""","""10127""","""6""","""Nate"""
"""Julia Ormond""","""15887""","""7""","""Sabrina Fairchild"""
"""Harrison Ford""","""3""","""7""","""Linus Larrabee"""
"""Nancy Marchand""","""12957""","""7""","""Maude Larrabee"""
"""Greg Kinnear""","""17141""","""7""","""David Larrabee"""
"""Jonathan Taylor Thomas""","""53283""","""8""","""Tom Sawyer"""
"""Brad Renfro""","""51214""","""8""","""Huck Finn"""
"""Eric Schweig""","""57448""","""8""","""Injun Joe"""
"""Charles Rocket""","""7867""","""8""","""Judge Thatcher"""
"""Jean-Claude Van Damme""","""15111""","""9""","""Darren Francis Thomas McCord"""
"""Powers Boothe""","""6280""","""9""","""Joshua Foss"""
"""Raymond J. Barry""","""10361""","""9""","""Vice President Daniel Bender"""
"""Whittni Wright""","""79088""","""9""","""Emily McCord"""
"""Pierce Brosnan""","""517""","""10""","""James Bond"""
"""Famke Janssen""","""10696""","""10""","""Xenia Onatopp"""
"""Sean Bean""","""48""","""10""","""Alec Trevelyan"""
"""Izabella Scorupco""","""10695""","""10""","""Natalya Fyodorovna Simonova"""
"""Martin Sheen""","""8349""","""11""","""A.J. MacInerney"""
"""Michael J. Fox""","""521""","""11""","""Lewis Rothschild"""
"""Michael Douglas""","""3392""","""11""","""Andrew Shepherd"""
"""Annette Bening""","""516""","""11""","""Sydney Ellen Wade"""
"""Peter MacNicol""","""12688""","""12""","""Thomas Renfield"""
"""Leslie Nielsen""","""7633""","""12""","""Count Dracula"""
"""Steven Weber""","""6106""","""12""","""Jonathan Harker"""
"""Amy Yasbeck""","""1219""","""12""","""Mina Seward"""
"""Kevin Bacon""","""4724""","""13""","""Balto (voice)"""
"""Bob Hoskins""","""382""","""13""","""Boris the Goose (voice)"""
"""Jim Cummings""","""12077""","""13""","""Steele the Sled Dog (voice)"""
"""Bridget Fonda""","""2233""","""13""","""Jenna (voice)"""
"""Ed Harris""","""228""","""14""","""E. Howard Hunt"""
"""Anthony Hopkins""","""4173""","""14""","""Richard Nixon"""
"""Powers Boothe""","""6280""","""14""","""Alexander Haig"""
"""Joan Allen""","""11148""","""14""","""Pat Nixon"""
"""Geena Davis""","""16935""","""15""","""Morgan Adams"""
"""Frank Langella""","""8924""","""15""","""Dawg"""
"""Matthew Modine""","""8654""","""15""","""William Shaw"""
"""Maury Chaykin""","""7868""","""15""","""John Reed"""
"""Robert De Niro""","""380""","""16""","""Sam 'Ace' Rothstein"""
"""Joe Pesci""","""4517""","""16""","""Nicky Santoro"""
"""Sharon Stone""","""4430""","""16""","""Ginger McKenna"""
"""James Woods""","""4512""","""16""","""Lester Diamond"""
"""James Fleet""","""10726""","""17""","""John Dashwood"""
"""Kate Winslet""","""204""","""17""","""Marianne Dashwood"""
"""Tom Wilkinson""","""207""","""17""","""Mr. Dashwood"""
"""Harriet Walter""","""17477""","""17""","""Fanny Ferrars Dashwood"""
"""Amanda De Cadenet""","""3123""","""18""",null
"""Valeria Golino""","""3124""","""18""","""Athena"""
"""Madonna""","""3125""","""18""","""Elspeth"""
"""Sammi Davis""","""3122""","""18""","""Jezebel"""
"""Jim Carrey""","""206""","""19""","""Ace Ventura"""
"""Ian McNeice""","""3547""","""19""","""Fulton Greenwall"""
"""Simon Callow""","""4001""","""19""","""Vincent Cadby"""
"""Maynard Eziashi""","""57096""","""19""","""Ouda"""
"""Wesley Snipes""","""10814""","""20""","""John"""
"""Robert Blake""","""9287""","""20""","""Donald Patterson"""
"""Woody Harrelson""","""57755""","""20""","""Charlie"""
"""Jennifer Lopez""","""16866""","""20""","""Grace Santiago"""
