name,tmdbId,movieId
"""Harold Lloyd""","""88953""","""8423"""
"""Paul Wegener""","""29123""","""25737"""
"""Buster Keaton""","""8635""","""25764"""
"""Buster Keaton""","""8635""","""83322"""
"""Buster Keaton""","""8635""","""83359"""
"""Buster Keaton""","""8635""","""83096"""
"""Buster Keaton""","""8635""","""8275"""
"""Buster Keaton""","""8635""","""25769"""
"""Buster Keaton""","""8635""","""83411"""
"""Buster Keaton""","""8635""","""7074"""
"""Buster Keaton""","""8635""","""8609"""
"""Buster Keaton""","""8635""","""83361"""
"""Buster Keaton""","""8635""","""3022"""
"""Buster Keaton""","""8635""","""3140"""
"""Buster Keaton""","""8635""","""25750"""
"""Buster Keaton""","""8635""","""83318"""
"""Buster Keaton""","""8635""","""3232"""
"""Buster Keaton""","""8635""","""3133"""
"""Malcolm St. Clair""","""143998""","""83318"""
"""Edward F. Cline""","""13953""","""3140"""
"""Edward F. Cline""","""13953""","""8522"""
"""Edward F. Cline""","""13953""","""83411"""
"""Edward F. Cline""","""13953""","""83361"""
"""Edward F. Cline""","""13953""","""83359"""
"""Edward F. Cline""","""13953""","""3929"""
"""Edward F. Cline""","""13953""","""83096"""
"""Edward F. Cline""","""13953""","""83322"""
"""Edward F. Cline""","""13953""","""25874"""
"""Lon Chaney""","""14481""","""25755"""
"""Donald Crisp""","""8841""","""7074"""
"""Walt Disney""","""2106""","""2102"""
"""Osgood Perkins""","""13355""","""144172"""
"""Charles Laughton""","""10921""","""7013"""
"""John Wayne""","""4165""","""6446"""
"""John Wayne""","""4165""","""32174"""
"""John Wayne""","""4165""","""4042"""
"""Ida Lupino""","""46617""","""47092"""
"""Ida Lupino""","""46617""","""31109"""
"""Ida Lupino""","""46617""","""3121"""
"""Leslie Howard""","""11493""","""7086"""
"""Erich von Stroheim""","""8630""","""25753"""
"""Laurence Olivier""","""3359""","""7697"""
"""Laurence Olivier""","""3359""","""25901"""
"""Laurence Olivier""","""3359""","""1941"""
"""Robert Taylor""","""82216""","""5003"""
"""Robert Montgomery""","""19406""","""25916"""
"""Paul Henreid""","""4112""","""8828"""
"""Liev Schreiber""","""23626""","""36535"""
"""Orson Welles""","""40""","""1248"""
"""Orson Welles""","""40""","""6460"""
"""Orson Welles""","""40""","""923"""
"""Orson Welles""","""40""","""25927"""
"""Orson Welles""","""40""","""25940"""
"""Orson Welles""","""40""","""5177"""
"""Orson Welles""","""40""","""2848"""
"""Dick Powell""","""19328""","""8675"""
"""Gene Kelly""","""13294""","""899"""
"""Gene Kelly""","""13294""","""3606"""
"""Gene Kelly""","""13294""","""6732"""
"""Gene Kelly""","""13294""","""8999"""
"""John Ireland""","""14502""","""69945"""
"""Burt Lancaster""","""13784""","""4324"""
"""Robert Mitchum""","""10158""","""7013"""
"""John Derek""","""39608""","""5864"""
"""Jerry Lewis""","""3663""","""2136"""
"""Jerry Lewis""","""3663""","""8986"""
"""Don Taylor""","""9108""","""2533"""
"""Don Taylor""","""9108""","""2789"""
"""Don Taylor""","""9108""","""78967"""
"""Marlon Brando""","""3084""","""5063"""
"""Sidney Poitier""","""16897""","""5250"""
"""Sidney Poitier""","""16897""","""26686"""
"""Jack Smith""","""1159927""","""72880"""
"""Vittorio De Sica""","""12329""","""3089"""
"""Vittorio De Sica""","""12329""","""4424"""
"""Vittorio De Sica""","""12329""","""6611"""
"""Otto Preminger""","""834""","""5799"""
"""Otto Preminger""","""834""","""31737"""
"""Otto Preminger""","""834""","""59832"""
"""Otto Preminger""","""834""","""3801"""
"""Otto Preminger""","""834""","""3678"""
"""Otto Preminger""","""834""","""942"""
"""Otto Preminger""","""834""","""5085"""
"""Jacques Tati""","""5763""","""26171"""
"""Jacques Tati""","""5763""","""7209"""
"""Jacques Tati""","""5763""","""7206"""
"""Peter Sellers""","""12446""","""2286"""
"""Gene Nelson""","""16002""","""8821"""
"""Anthony Perkins""","""7301""","""2903"""
"""Bryan Forbes""","""31439""","""2346"""
"""Bryan Forbes""","""31439""","""6416"""
"""Bryan Forbes""","""31439""","""3612"""
"""Victor Sjöström""","""8741""","""957"""
"""Steve McQueen""","""13565""","""90531"""
"""Steve McQueen""","""13565""","""64197"""
