movieId,title,imdbId,imdbRating,url,revenue,tmdbId,plot,poster,released,budget
"""1""","""Toy Story""","""0114709""",8.3,"""https://themoviedb.org/movie/862""",373554033,"""862""","""A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.""","""https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg""","""1995-11-22""",30000000
"""2""","""Jumanji""","""0113497""",6.9,"""https://themoviedb.org/movie/8844""",262797249,"""8844""","""When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.""","""https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg""","""1995-12-15""",65000000
"""3""","""Grumpier Old Men""","""0113228""",6.6,"""https://themoviedb.org/movie/15602""",null,"""15602""","""John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.""","""https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg""","""1995-12-22""",null
"""4""","""Waiting to Exhale""","""0114885""",5.6,"""https://themoviedb.org/movie/31357""",81452156,"""31357""","""Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.""","""https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg""","""1995-12-22""",16000000
"""5""","""Father of the Bride Part II""","""0113041""",5.9,"""https://themoviedb.org/movie/11862""",76578911,"""11862""","""In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.""","""https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg""","""1995-12-08""",null
"""6""","""Heat""","""0113277""",8.2,"""https://themoviedb.org/movie/949""",187436818,"""949""","""A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.""","""https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg""","""1995-12-15""",60000000
"""7""","""Sabrina""","""0114319""",6.2,"""https://themoviedb.org/movie/11860""",53672080,"""11860""","""An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.""","""https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg""","""1995-12-15""",58000000
"""8""","""Tom and Huck""","""0112302""",5.6,"""https://themoviedb.org/movie/45325""",23920048,"""45325""","""Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.""","""https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg""","""1995-12-22""",null
"""9""","""Sudden Death""","""0114576""",5.7,"""https://themoviedb.org/movie/9091""",64350171,"""9091""","""A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.""","""https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg""","""1995-12-22""",35000000
"""10""","""GoldenEye""","""0113189""",7.2,"""https://themoviedb.org/movie/710""",352194034,"""710""","""James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.""","""https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg""","""1995-11-17""",58000000
"""11""","""American President, The""","""0112346""",6.8,"""https://themoviedb.org/movie/9087""",107879496,"""9087""","""Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.""","""https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg""","""1995-11-17""",62000000
"""12""","""Dracula: Dead and Loving It""","""0112896""",5.8,"""https://themoviedb.org/movie/12110""",null,"""12110""","""Mel Brooks' parody of the classic vampire story and its famous film adaptations.""","""https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg""","""1995-12-22""",null
"""13""","""Balto""","""0112453""",7.1,"""https://themoviedb.org/movie/21032""",11348324,"""21032""","""An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.""","""https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg""","""1995-12-22""",null
"""14""","""Nixon""","""0113987""",7.1,"""https://themoviedb.org/movie/10858""",13681765,"""10858""","""A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.""","""https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg""","""1996-01-05""",44000000
"""15""","""Cutthroat Island""","""0112760""",5.6,"""https://themoviedb.org/movie/1408""",10017322,"""1408""","""A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.""","""https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg""","""1995-12-22""",98000000
"""16""","""Casino""","""0112641""",8.2,"""https://themoviedb.org/movie/524""",116112375,"""524""","""Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.""","""https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg""","""1995-11-22""",52000000
"""17""","""Sense and Sensibility""","""0114388""",7.7,"""https://themoviedb.org/movie/4584""",134582776,"""4584""","""Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.""","""https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg""","""1996-01-26""",16000000
"""18""","""Four Rooms""","""0113101""",6.7,"""https://themoviedb.org/movie/5""",4257354,"""5""","""Four interlocking tales that take place in a fading hotel on New Year's Eve.""","""https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg""","""1995-12-25""",4000000
